district,tunnel_farming,sprinkler,drip,central_pivot,adoption_notes,tunnel_farming_area,tunnel_farming_percent_of_farms,tunnel_area_owner,tunnel_area_owner_cum_tenant,tunnel_area_tenant,tunnel_area_owner_percent,tunnel_area_owner_cum_tenant_percent,tunnel_area_tenant_percent,sprinkler_drip_pivot_area,source_year,source_table,notes
Gujrat District,228,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",554,0,196,89,269,35,35,49,1138,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Hafizabad District,72,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",487,0,257,37,193,53,53,40,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Mandi Bahauddin District,78,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",598,0,132,466,,22,22,,547,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Narowal District,841,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",4474,1,4444,30,,99,99,,218,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sialkot District,99,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",924,0,95,726,103,10,10,11,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Kasur District,317,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1248,0,670,578,,54,54,,205,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Lahore District,193,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1911,0,1,,1910,0,0,100,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Nankana Sahib District,202,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",489,0,464,25,,95,95,,,2024,"Tables 6.19, 4.2","Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sheikhupura District,169,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",783,0,718,34,31,92,92,4,432,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Khanewal District,140,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",295,0,254,41,,86,86,,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Lodhran District,751,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",3792,1,2455,1088,250,65,65,7,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Multan District,326,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1143,0,198,945,,17,17,,67,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Vehari District,2090,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",15689,2,12640,1287,1762,81,81,11,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Attock District,66,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",25,0,3,,22,13,13,87,13835,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Chakwal District,18,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",107,,107,,,100,100,,3386,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Jhelum District,67,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",245,0,15,,230,6,6,94,353,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rawalpindi District,79,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",538,0,86,2,450,16,16,84,1235,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Okara District,1881,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",5638,1,4360,1245,33,77,77,1,100,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Pakpattan District,2844,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",10067,3,3995,5299,773,40,40,8,76,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sahiwal District,515,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1905,0,851,399,655,45,45,34,31,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bhakkar District,2,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",27,,,27,,,,,830,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Khushab District,12,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",120,,120,,,100,100,,363,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Mianwali District,272,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",2563,0,2563,,,100,100,,50,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sargodha District,210,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1171,0,543,,628,46,46,54,153,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Cholistan Area,1,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",4,,4,,,100,100,,,2024,"Tables 6.19, 4.2","Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
