file,column,description,unit,source_table,notes
pbs_land_tenure.csv,owner_farm_area,Farm area operated by owners,acres,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,owner_cum_tenant_farm_area,Farm area operated by owner-cum-tenant,acres,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,tenant_farm_area,Farm area operated by tenants,acres,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,owner_area_percent,Owner-operated area as percent of farm area,percent,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,owner_cum_tenant_area_percent,Owner-cum-tenant area as percent of farm area,percent,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,tenant_area_percent,Tenant-operated area as percent of farm area,percent,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,source_year,Census year,year,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,source_table,Source table,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,notes,Row flags and footnotes,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,district,Census district,text,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,total_cultivated_area,Total cultivated area,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,irrigated_area,Cultivated area actually irrigated,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,unirrigated_area,Cultivated area not irrigated (sailaba + barani + facility-not-irrigated),acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,canal_area,Area irrigated by canal only,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,canal_and_tubewell_area,Area irrigated by canal as well as tubewell (mixed),acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,tubewell_area,Area irrigated by tubewell or pump only,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,tank_bandat_area,Area irrigated by ponds or small dams (bandat) or rivulet only,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,spring_rod_kohi_area,Area irrigated by spring or hill ravines (rod-kohi) only,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,karez_area,Area irrigated by karez only,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,sprinkler_drip_pivot_area,Area irrigated by sprinkler/drip/central pivot (combined column in source),acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,unspecified_irrigation_area,Area irrigated by unspecified sources,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,lift_pump_area,Not reported at area level; left empty (tubewell_area covers tubewell or pump),acres,n/a,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,other_irrigation_area,DERIVED: sum of tank/bandat + spring/rod-kohi + karez + unspecified,acres,derived,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,sailaba_area,Unirrigated area flooded (sailaba),acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,barani_area,Unirrigated area rain-fed (barani),acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,irrigable_not_irrigated_area,Cultivated area with irrigation facility but not irrigated,acres,Table 4.2,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,irrigation_method_notes,Mode definitions and mapping notes,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,source_year,Census year,year,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,source_table,Source table,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_irrigation.csv,notes,Row flags and footnotes,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,district,Census district,text,"Tables 6.5, 1.0","Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,crop_name,Crop or crop group (15 share categories from Table 6.5 plus totals from Table 1.0),text,"Tables 6.5, 1.0","Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,crop_area,"Reported crop area; available only for wheat, rice, cotton, sugarcane, fodder, orchards, maize and season totals (Table 1.0)",acres,Table 1.0,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,crop_share,"Crop area as percent of total cropped area (Table 6.5), integer-rounded",percent,Table 6.5,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,season,Season assigned per standard Punjab crop calendar (not census-reported),text,derived,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,total_cropped_area,Total cropped area of the district (context),acres,Table 6.5,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,source_year,Census year,year,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,source_table,Source tables,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_crops.csv,notes,Row flags and footnotes,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_machinery.csv,district,Census district,text,"Tables 8.1, 8.11, 8.16","Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_machinery.csv,tractor_count,All tractors (owned individually + jointly + by co-operative societies),tractors,Table 8.1,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_machinery.csv,tubewell_count,Tubewells (all operating powers),tubewells,Table 8.11,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_machinery.csv,electric_tubewell,Tubewells operated by electricity,tubewells,Table 8.11,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_machinery.csv,diesel_tubewell,Tubewells operated by diesel,tubewells,Table 8.11,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_machinery.csv,solar_tubewell,Tubewells operated by solar power,tubewells,Table 8.11,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_machinery.csv,implements_notes,Owned counts of 15 ploughing implements (Table 8.16) as name=value pairs,text,Table 8.16,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
